Learning Rate: 0.1, alpha: None
Epoch 8, Training Loss: 0.8478, Training Accuracy: 89.546%
Epoch 9, Training Loss: 0.6976, Training Accuracy: 89.784%
Epoch 10, Training Loss: 0.7312, Training Accuracy: 90.391%
Epoch 11, Training Loss: 0.7201, Training Accuracy: 89.995%
Epoch 12, Training Loss: 0.7774, Training Accuracy: 90.787%
Epoch 13, Training Loss: 0.6678, Training Accuracy: 92.371%
Epoch 14, Training Loss: 0.7127, Training Accuracy: 92.054%
Epoch 15, Training Loss: 0.7492, Training Accuracy: 90.787%
Epoch 16, Training Loss: 0.6603, Training Accuracy: 90.734%
Epoch 17, Training Loss: 0.7592, Training Accuracy: 88.437%
Epoch 18, Training Loss: 0.7539, Training Accuracy: 90.971%
Epoch 19, Training Loss: 0.5845, Training Accuracy: 90.681%
Epoch 20, Training Loss: 0.7423, Training Accuracy: 88.622%
Epoch 21, Training Loss: 0.8386, Training Accuracy: 89.176%
Epoch 22, Training Loss: 0.8569, Training Accuracy: 88.675%
Epoch 23, Training Loss: 0.8861, Training Accuracy: 88.701%
Epoch 24, Training Loss: 0.6236, Training Accuracy: 90.919%
Epoch 25, Training Loss: 0.6940, Training Accuracy: 90.206%
Epoch 26, Training Loss: 0.7677, Training Accuracy: 90.866%
Epoch 27, Training Loss: 0.6991, Training Accuracy: 90.787%
Epoch 28, Training Loss: 0.6448, Training Accuracy: 90.048%
Epoch 29, Training Loss: 0.7933, Training Accuracy: 90.549%
Epoch 30, Training Loss: 0.7388, Training Accuracy: 90.813%
The best model for 0.01, 0.5 has been saved!
Learning Rate: 0.01, alpha: 0.01
Epoch 1, Training Loss: 1.4644, Training Accuracy: 73.865%
Epoch 2, Training Loss: 1.3802, Training Accuracy: 76.822%
Epoch 3, Training Loss: 1.3027, Training Accuracy: 80.517%
Epoch 4, Training Loss: 1.1337, Training Accuracy: 81.177%
Epoch 5, Training Loss: 1.2191, Training Accuracy: 83.105%
Epoch 6, Training Loss: 0.9999, Training Accuracy: 84.134%
Epoch 7, Training Loss: 1.0220, Training Accuracy: 83.870%
Epoch 8, Training Loss: 1.0530, Training Accuracy: 86.114%
Epoch 9, Training Loss: 0.8246, Training Accuracy: 86.378%
Epoch 10, Training Loss: 0.9025, Training Accuracy: 88.833%
Epoch 11, Training Loss: 0.9266, Training Accuracy: 88.886%
Epoch 12, Training Loss: 0.6498, Training Accuracy: 90.232%
Epoch 13, Training Loss: 0.7420, Training Accuracy: 89.942%
Epoch 14, Training Loss: 0.6386, Training Accuracy: 91.631%
Epoch 15, Training Loss: 0.6577, Training Accuracy: 91.711%
Epoch 16, Training Loss: 0.4821, Training Accuracy: 91.737%
Epoch 17, Training Loss: 0.6088, Training Accuracy: 92.635%
Epoch 18, Training Loss: 0.5999, Training Accuracy: 91.579%
Epoch 19, Training Loss: 0.5582, Training Accuracy: 93.823%
Epoch 20, Training Loss: 0.6578, Training Accuracy: 94.192%
Epoch 21, Training Loss: 0.3109, Training Accuracy: 94.826%
Epoch 22, Training Loss: 0.5929, Training Accuracy: 94.007%
Epoch 23, Training Loss: 0.4111, Training Accuracy: 94.984%
Epoch 24, Training Loss: 0.4577, Training Accuracy: 95.671%
Epoch 25, Training Loss: 0.3705, Training Accuracy: 94.641%
Epoch 26, Training Loss: 0.2818, Training Accuracy: 96.225%
Epoch 27, Training Loss: 0.4157, Training Accuracy: 96.067%
Epoch 28, Training Loss: 0.3794, Training Accuracy: 95.671%
Epoch 29, Training Loss: 0.2705, Training Accuracy: 96.832%
Epoch 30, Training Loss: 0.2997, Training Accuracy: 96.727%
The best model for 0.01, 0.01 has been saved!
Learning Rate: 0.01, alpha: 0.05
Epoch 1, Training Loss: 1.4017, Training Accuracy: 73.970%
Epoch 2, Training Loss: 1.2098, Training Accuracy: 77.165%
Epoch 3, Training Loss: 1.1372, Training Accuracy: 82.603%
Epoch 4, Training Loss: 1.0585, Training Accuracy: 84.451%
Epoch 5, Training Loss: 1.1773, Training Accuracy: 85.375%
Epoch 6, Training Loss: 0.9796, Training Accuracy: 85.216%
Epoch 7, Training Loss: 1.0414, Training Accuracy: 85.903%
Epoch 8, Training Loss: 0.9255, Training Accuracy: 88.305%
Epoch 9, Training Loss: 0.8135, Training Accuracy: 87.381%
Epoch 10, Training Loss: 0.8735, Training Accuracy: 89.493%
Epoch 11, Training Loss: 0.8423, Training Accuracy: 89.018%
Epoch 12, Training Loss: 0.7873, Training Accuracy: 90.866%
Epoch 13, Training Loss: 0.6232, Training Accuracy: 90.206%
Epoch 14, Training Loss: 0.6384, Training Accuracy: 90.496%
Epoch 15, Training Loss: 0.6084, Training Accuracy: 92.133%
Epoch 16, Training Loss: 0.6902, Training Accuracy: 91.975%
Epoch 17, Training Loss: 0.5722, Training Accuracy: 92.819%
Epoch 18, Training Loss: 0.5736, Training Accuracy: 92.925%
Epoch 19, Training Loss: 0.5476, Training Accuracy: 93.295%
Epoch 20, Training Loss: 0.5139, Training Accuracy: 93.427%
Epoch 21, Training Loss: 0.5749, Training Accuracy: 94.483%
Epoch 22, Training Loss: 0.4284, Training Accuracy: 93.955%
Epoch 23, Training Loss: 0.4567, Training Accuracy: 94.879%
Epoch 24, Training Loss: 0.5465, Training Accuracy: 94.034%
Epoch 25, Training Loss: 0.5436, Training Accuracy: 95.037%
Epoch 26, Training Loss: 0.3734, Training Accuracy: 95.275%
Epoch 27, Training Loss: 0.3905, Training Accuracy: 95.961%
Epoch 28, Training Loss: 0.2726, Training Accuracy: 95.618%
Epoch 29, Training Loss: 0.4576, Training Accuracy: 95.882%
Epoch 30, Training Loss: 0.4136, Training Accuracy: 95.327%
The best model for 0.01, 0.05 has been saved!
Learning Rate: 0.005, alpha: None
Epoch 1, Training Loss: 0.0006, Training Accuracy: 100.000%
Epoch 2, Training Loss: 0.0004, Training Accuracy: 100.000%
Epoch 3, Training Loss: 0.0002, Training Accuracy: 100.000%
Epoch 4, Training Loss: 0.0007, Training Accuracy: 99.880%
Epoch 5, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 6, Training Loss: 0.0005, Training Accuracy: 99.940%
Epoch 7, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 8, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 9, Training Loss: 0.0000, Training Accuracy: 99.940%
Epoch 10, Training Loss: 0.0000, Training Accuracy: 99.940%
Epoch 11, Training Loss: 0.0002, Training Accuracy: 100.000%
Epoch 12, Training Loss: 0.0001, Training Accuracy: 99.940%
Epoch 13, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 14, Training Loss: 0.0002, Training Accuracy: 100.000%
Epoch 15, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 16, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 17, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 18, Training Loss: 0.0002, Training Accuracy: 100.000%
Epoch 19, Training Loss: 0.0056, Training Accuracy: 99.940%
Epoch 20, Training Loss: 0.0005, Training Accuracy: 100.000%
Epoch 21, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 22, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 23, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 24, Training Loss: 0.0038, Training Accuracy: 100.000%
Epoch 25, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 26, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 27, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 28, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 29, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 30, Training Loss: 0.0001, Training Accuracy: 100.000%
The best model for 0.005, None has been saved!
Learning Rate: 0.005, alpha: 0.5
Epoch 1, Training Loss: 1.5439, Training Accuracy: 76.320%
Epoch 2, Training Loss: 1.2989, Training Accuracy: 76.505%
Epoch 3, Training Loss: 1.2887, Training Accuracy: 81.785%
Epoch 4, Training Loss: 1.3626, Training Accuracy: 79.461%
Epoch 5, Training Loss: 1.1813, Training Accuracy: 83.184%
Epoch 6, Training Loss: 1.0963, Training Accuracy: 82.841%
Epoch 7, Training Loss: 1.1601, Training Accuracy: 83.157%
Epoch 8, Training Loss: 1.0460, Training Accuracy: 83.923%
Epoch 9, Training Loss: 1.2625, Training Accuracy: 84.504%
Epoch 10, Training Loss: 1.1746, Training Accuracy: 84.530%
Epoch 11, Training Loss: 1.2240, Training Accuracy: 84.662%
Epoch 12, Training Loss: 1.2834, Training Accuracy: 84.609%
Epoch 13, Training Loss: 1.0719, Training Accuracy: 83.817%
Epoch 14, Training Loss: 1.2011, Training Accuracy: 86.668%
Epoch 15, Training Loss: 0.9672, Training Accuracy: 86.985%
Epoch 16, Training Loss: 1.1224, Training Accuracy: 85.876%
Epoch 17, Training Loss: 0.9966, Training Accuracy: 86.668%
Epoch 18, Training Loss: 0.9374, Training Accuracy: 87.408%
Epoch 19, Training Loss: 1.0112, Training Accuracy: 87.751%
Epoch 20, Training Loss: 0.9974, Training Accuracy: 87.460%
Epoch 21, Training Loss: 1.0650, Training Accuracy: 87.434%
Epoch 22, Training Loss: 0.9649, Training Accuracy: 85.903%
Epoch 23, Training Loss: 0.9702, Training Accuracy: 86.563%
Epoch 24, Training Loss: 0.9371, Training Accuracy: 87.328%
Epoch 25, Training Loss: 1.0173, Training Accuracy: 88.516%
Epoch 26, Training Loss: 0.9008, Training Accuracy: 87.909%
Epoch 27, Training Loss: 0.9665, Training Accuracy: 88.622%
Epoch 28, Training Loss: 0.9922, Training Accuracy: 86.721%
Epoch 29, Training Loss: 0.8632, Training Accuracy: 86.668%
Epoch 30, Training Loss: 0.9535, Training Accuracy: 86.853%
The best model for 0.005, 0.5 has been saved!
Learning Rate: 0.005, alpha: 0.01
Epoch 1, Training Loss: 1.5214, Training Accuracy: 75.739%
Epoch 2, Training Loss: 1.5709, Training Accuracy: 76.188%
Epoch 3, Training Loss: 1.4131, Training Accuracy: 78.617%
Epoch 4, Training Loss: 1.4256, Training Accuracy: 76.452%
Epoch 5, Training Loss: 1.4248, Training Accuracy: 79.303%
Epoch 6, Training Loss: 1.2975, Training Accuracy: 81.415%
Epoch 7, Training Loss: 1.2908, Training Accuracy: 80.333%
Epoch 8, Training Loss: 1.2347, Training Accuracy: 82.920%
Epoch 9, Training Loss: 1.2784, Training Accuracy: 84.240%
Epoch 10, Training Loss: 1.2205, Training Accuracy: 82.418%
Epoch 11, Training Loss: 1.0791, Training Accuracy: 83.844%
Epoch 12, Training Loss: 1.1035, Training Accuracy: 84.108%
Epoch 13, Training Loss: 1.0498, Training Accuracy: 84.398%
Epoch 14, Training Loss: 0.8872, Training Accuracy: 84.530%
Epoch 15, Training Loss: 0.9734, Training Accuracy: 86.008%
Epoch 16, Training Loss: 0.9099, Training Accuracy: 87.064%
Epoch 17, Training Loss: 0.9337, Training Accuracy: 86.695%
Epoch 18, Training Loss: 0.9254, Training Accuracy: 88.015%
Epoch 19, Training Loss: 0.8630, Training Accuracy: 88.516%
Epoch 20, Training Loss: 0.8189, Training Accuracy: 89.546%
Epoch 21, Training Loss: 0.8457, Training Accuracy: 90.813%
Epoch 22, Training Loss: 0.8107, Training Accuracy: 90.364%
Epoch 23, Training Loss: 0.9101, Training Accuracy: 89.335%
Epoch 24, Training Loss: 0.7061, Training Accuracy: 90.945%
Epoch 25, Training Loss: 0.7429, Training Accuracy: 90.734%
Epoch 26, Training Loss: 0.7768, Training Accuracy: 91.077%
Epoch 27, Training Loss: 0.5942, Training Accuracy: 91.420%
Epoch 28, Training Loss: 0.6575, Training Accuracy: 91.790%
Epoch 29, Training Loss: 0.5980, Training Accuracy: 91.948%
Epoch 30, Training Loss: 0.6915, Training Accuracy: 92.318%
The best model for 0.005, 0.01 has been saved!
Learning Rate: 0.005, alpha: 0.05
Epoch 1, Training Loss: 1.5101, Training Accuracy: 71.172%
Epoch 2, Training Loss: 1.5836, Training Accuracy: 75.660%
Epoch 3, Training Loss: 1.4387, Training Accuracy: 79.435%
Epoch 4, Training Loss: 1.3377, Training Accuracy: 76.558%
Epoch 5, Training Loss: 1.1282, Training Accuracy: 82.629%
Epoch 6, Training Loss: 1.1891, Training Accuracy: 81.283%
Epoch 7, Training Loss: 1.0954, Training Accuracy: 81.019%
Epoch 8, Training Loss: 1.1034, Training Accuracy: 83.897%
Epoch 9, Training Loss: 1.0551, Training Accuracy: 83.606%
Epoch 10, Training Loss: 1.0087, Training Accuracy: 85.401%
Epoch 11, Training Loss: 1.0803, Training Accuracy: 85.137%
Epoch 12, Training Loss: 1.1697, Training Accuracy: 86.457%
Epoch 13, Training Loss: 0.9876, Training Accuracy: 86.061%
Epoch 14, Training Loss: 1.0976, Training Accuracy: 86.008%
Epoch 15, Training Loss: 1.0433, Training Accuracy: 88.068%
Epoch 16, Training Loss: 0.9446, Training Accuracy: 88.411%
Epoch 17, Training Loss: 0.8325, Training Accuracy: 87.540%
Epoch 18, Training Loss: 0.8033, Training Accuracy: 90.444%
Epoch 19, Training Loss: 0.8906, Training Accuracy: 89.467%
Epoch 20, Training Loss: 0.8402, Training Accuracy: 89.124%
Epoch 21, Training Loss: 0.6839, Training Accuracy: 89.916%
Epoch 22, Training Loss: 0.7800, Training Accuracy: 89.863%
Epoch 23, Training Loss: 0.7391, Training Accuracy: 90.391%
Epoch 24, Training Loss: 0.7498, Training Accuracy: 91.209%
Epoch 25, Training Loss: 0.6769, Training Accuracy: 91.315%
Epoch 26, Training Loss: 0.8600, Training Accuracy: 91.473%
Epoch 27, Training Loss: 0.6366, Training Accuracy: 92.265%
Epoch 28, Training Loss: 0.5984, Training Accuracy: 91.790%
Epoch 29, Training Loss: 0.7990, Training Accuracy: 92.054%
Epoch 30, Training Loss: 0.6477, Training Accuracy: 92.080%
The best model for 0.005, 0.05 has been saved!
Learning Rate: 0.001, alpha: None
Epoch 1, Training Loss: 0.0013, Training Accuracy: 100.000%
Epoch 2, Training Loss: 0.0014, Training Accuracy: 100.000%
Epoch 3, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 4, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 5, Training Loss: 0.0001, Training Accuracy: 99.940%
Epoch 6, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 7, Training Loss: 0.0008, Training Accuracy: 99.940%
Epoch 8, Training Loss: 0.0002, Training Accuracy: 99.940%
Epoch 9, Training Loss: 0.0003, Training Accuracy: 100.000%
Epoch 10, Training Loss: 0.0006, Training Accuracy: 99.940%
Epoch 11, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 12, Training Loss: 0.0003, Training Accuracy: 100.000%
Epoch 13, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 14, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 15, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 16, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 17, Training Loss: 0.0004, Training Accuracy: 100.000%
Epoch 18, Training Loss: 0.0000, Training Accuracy: 99.940%
Epoch 19, Training Loss: 0.0003, Training Accuracy: 100.000%
Epoch 20, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 21, Training Loss: 0.0008, Training Accuracy: 100.000%
Epoch 22, Training Loss: 0.0004, Training Accuracy: 100.000%
Epoch 23, Training Loss: 0.0012, Training Accuracy: 100.000%
Epoch 24, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 25, Training Loss: 0.0001, Training Accuracy: 100.000%
Epoch 26, Training Loss: 0.0021, Training Accuracy: 100.000%
Epoch 27, Training Loss: 0.0001, Training Accuracy: 99.940%
Epoch 28, Training Loss: 0.0002, Training Accuracy: 100.000%
Epoch 29, Training Loss: 0.0000, Training Accuracy: 100.000%
Epoch 30, Training Loss: 0.0001, Training Accuracy: 99.940%
The best model for 0.001, None has been saved!
Learning Rate: 0.001, alpha: 0.5
Epoch 1, Training Loss: 1.6047, Training Accuracy: 82.286%
Epoch 2, Training Loss: 1.7095, Training Accuracy: 72.281%
Epoch 3, Training Loss: 1.4814, Training Accuracy: 74.604%
Epoch 4, Training Loss: 1.5307, Training Accuracy: 73.574%
Epoch 5, Training Loss: 1.3760, Training Accuracy: 77.772%
Epoch 6, Training Loss: 1.3079, Training Accuracy: 77.270%
Epoch 7, Training Loss: 1.4523, Training Accuracy: 76.610%
Epoch 8, Training Loss: 1.4084, Training Accuracy: 79.382%
Epoch 9, Training Loss: 1.2510, Training Accuracy: 78.141%
Epoch 10, Training Loss: 1.3188, Training Accuracy: 80.095%
Epoch 11, Training Loss: 1.2632, Training Accuracy: 79.118%
Epoch 12, Training Loss: 1.2214, Training Accuracy: 80.649%
Epoch 13, Training Loss: 1.2562, Training Accuracy: 80.174%
Epoch 14, Training Loss: 1.3258, Training Accuracy: 81.494%
Epoch 15, Training Loss: 1.3287, Training Accuracy: 78.669%
Epoch 16, Training Loss: 1.2294, Training Accuracy: 80.280%
Epoch 17, Training Loss: 1.1778, Training Accuracy: 81.811%
